event_type,event_percentage,bbox,road_completeness,building_completeness,current_density
early_import,93.3599916196173,"112.67578125,-7.470703125,112.763671875,-7.4267578125",1,1,148607.57
early_import,90.2602968376415,"114.2578125,-8.26171875,114.43359375,-8.173828125",1,1,38683.09
early_import,81.9391492566147,"9.66796875,4.04296875,9.755859375,4.0869140625",1,1,235281.08
early_import,84.621652765225,"17.2265625,40.25390625,17.578125,40.4296875",0,1,11732.26
early_import,81.8798602376737,"17.2265625,40.60546875,17.578125,40.78125",1,1,17594.82
early_import,96.8104632661594,"89.296875,23.203125,89.6484375,23.37890625",1,1,7624.11
early_import,91.0925396089429,"23.90625,68.90625,25.3125,69.609375",1,1,6.19
early_import,89.3018591927979,"98.96484375,2.900390625,99.140625,2.98828125",1,1,37334.3
geometry_import,58.2534877723409,"7.734375,48.5595703125,7.7783203125,48.58154296875",0,1,224260.38
geometry_import,58.0428416851217,"4.5703125,51.064453125,4.74609375,51.15234375",0,1,60088.2
geometry_import,50.8661831302427,"4.921875,59.765625,5.625,60.1171875",1,1,2200.86
geometry_import,50.802267635245,"9.140625,63.6328125,9.84375,63.984375",1,1,1267.81
